id,inventario,creado,equipo,registrado,código,descripción,upc,"capacidad por caja",cantidad,cajas,posición,"solicitud de cambio","cambios aplicados",eliminado,"justificación de eliminación",revisado
16970,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 09:59:24","27 - Jesús Víctor Gil",si,EV22405,"ESMALTE TECNOBRIL BLANCO OSTION 500 ML.",17501476222458,9,81,9, 7C6,,no,,,no
16971,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 09:59:54","27 - Jesús Víctor Gil",si,EV22240,"ESMALTE TECNOBRIL NEGRO MATE 4 L.",17501476222243,2,74,37, 7B5,,no,,,no
16972,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 10:00:12","27 - Jesús Víctor Gil",si,EV22440,"ESMALTE TECNOBRIL BLANCO OSTION 4 L.",17501476222441,2,38,19, 7B6,,no,,,no
16973,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 10:00:31","27 - Jesús Víctor Gil",si,EV22202,"ESMALTE TECNOBRIL NEGRO MATE 250 ML.",17501476222229,9,549,61, 8B5,,no,,,no
16974,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 10:00:47","27 - Jesús Víctor Gil",si,EV22402,"ESMALTE TECNOBRIL BLANCO OSTION 250 ML.",17501476222427,9,126,14, 8B6,,no,,,no
16975,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 10:01:41","27 - Jesús Víctor Gil",si,EV22210,"ESMALTE TECNOBRIL NEGRO MATE 1 L.",17501476222212,6,108,18, 8A5,,no,,,no
16976,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 10:02:01","27 - Jesús Víctor Gil",si,EV22410,"ESMALTE TECNOBRIL BLANCO OSTION 1 L.",17501476222410,6,168,28, 8A6,,no,,,no
16977,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 10:03:19","27 - Jesús Víctor Gil",si,EV22490,"ESMALTE TECNOBRIL BLANCO OSTION 19 L.",7501476222499,1,18,18, 7A6,,no,,,no
16978,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 10:06:50","27 - Jesús Víctor Gil",si,EV22805,"ESMALTE TECNOBRIL AZUL HOLANDES 500 ML.",17501476222854,9,351,39, 7C7,,no,,,no
16979,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 10:07:10","27 - Jesús Víctor Gil",si,EV23110,"ESMALTE TECNOBRIL BASE PASTEL 1 L.",17501476201439,6,330,55, 7C8,,no,,,no
16980,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 10:07:41","27 - Jesús Víctor Gil",si,EV22840,"ESMALTE TECNOBRIL AZUL HOLANDES 4 L.",17501476222847,2,30,15, 7B7,,no,,,no
16981,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 10:08:12","27 - Jesús Víctor Gil",si,EV23140,"ESMALTE TECNOBRIL BASE PASTEL 4 L.",17501476201446,2,58,29, 7B8,,no,,,no
16982,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 10:08:40","27 - Jesús Víctor Gil",si,EV22802,"ESMALTE TECNOBRIL AZUL HOLANDES 250 ML.",17501476222823,9,216,24, 8B7,,no,,,no
16983,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 10:08:58","27 - Jesús Víctor Gil",si,EV23240,"ESMALTE TECNOBRIL BASE TINT 4 L.",17501476201477,2,10,5, 8B8,,no,,,no
16984,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 10:09:47","27 - Jesús Víctor Gil",si,EV22890,"ESMALTE TECNOBRIL AZUL HOLANDES 19 L.",7501476222895,1,13,13, 7A7,,no,,,no
16985,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 10:10:04","27 - Jesús Víctor Gil",si,EV23190,"ESMALTE TECNOBRIL BASE PASTEL 19 L.",7501476201456,1,16,16, 7A8,,no,,,no
16986,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 10:10:16","27 - Jesús Víctor Gil",si,EV23290,"ESMALTE TECNOBRIL BASE TINT 19 L.",7501476201487,1,26,26, 8A8,,no,,,no
16987,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 10:10:32","27 - Jesús Víctor Gil",si,EV22810,"ESMALTE TECNOBRIL AZUL HOLANDES 1 L.",17501476222816,6,390,65, 8A7,,no,,,no
16988,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 10:20:32","27 - Jesús Víctor Gil",si,EV23440,"ESMALTE TECNOBRIL BASE ACCENT 4 L.",17501476201552,2,102,51, 7F9,,no,,,no
16989,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 10:20:58","27 - Jesús Víctor Gil",si,EV23410,"ESMALTE TECNOBRIL BASE ACCENT 1 L.",17501476201538,6,300,50, 7F9,,no,,,no
