id,inventario,creado,equipo,registrado,código,descripción,upc,"capacidad por caja",cantidad,cajas,posición,"solicitud de cambio","cambios aplicados",eliminado,"justificación de eliminación",revisado
16159,"Aerosoles AW-PW-MA-IA","2023-02-26 08:26:46","35 - ISAU ROSALES MARTINEZ",si,AA8020501,"AEROSOL DESINFECTANTE POWER KLIN",17501476227316,12,1200,100, 20C11,,no,,,no
16160,"Aerosoles AW-PW-MA-IA","2023-02-26 08:27:35","35 - ISAU ROSALES MARTINEZ",si,AA8020501,"AEROSOL DESINFECTANTE POWER KLIN",17501476227316,12,1200,100, 19D11,,no,,,no
16161,"Aerosoles AW-PW-MA-IA","2023-02-26 08:28:30","35 - ISAU ROSALES MARTINEZ",si,AA8020501,"AEROSOL DESINFECTANTE POWER KLIN",17501476227316,12,1116,93, 20D11,,no,,,no
16162,"Aerosoles AW-PW-MA-IA","2023-02-26 08:30:55","35 - ISAU ROSALES MARTINEZ",si,AW75705,"AEROSOL ACUARIO VERDE FLUORESCENTE 400 ML.",27501476275703,6,1200,200, 19E17,,no,,,no
16163,"Aerosoles AW-PW-MA-IA","2023-02-26 08:32:30","35 - ISAU ROSALES MARTINEZ",si,AW75705,"AEROSOL ACUARIO VERDE FLUORESCENTE 400 ML.",27501476275703,6,792,132, 20E17,,no,,,no
16164,"Aerosoles AW-PW-MA-IA","2023-02-26 08:33:33","35 - ISAU ROSALES MARTINEZ",si,AW76305,"AEROSOL ACUARIO NARANJA FLUORESCENTE 400 ML.",27501476276304,6,498,83, 20E18,,no,,,no
16165,"Aerosoles AW-PW-MA-IA","2023-02-26 08:34:49","35 - ISAU ROSALES MARTINEZ",si,AW76405,"AEROSOL ACUARIO NARANJA 400 ML.",27501476276403,6,546,91, 19C18,,no,,,no
16166,"Aerosoles AW-PW-MA-IA","2023-02-26 08:36:19","35 - ISAU ROSALES MARTINEZ",si,AW75705,"AEROSOL ACUARIO VERDE FLUORESCENTE 400 ML.",27501476275703,6,216,36, 20C17,,no,,,no
16167,"Aerosoles AW-PW-MA-IA","2023-02-26 08:38:08","35 - ISAU ROSALES MARTINEZ",si,AW76305,"AEROSOL ACUARIO NARANJA FLUORESCENTE 400 ML.",27501476276304,6,132,22, 19B18,,no,,,no
16168,"Aerosoles AW-PW-MA-IA","2023-02-26 08:38:51","35 - ISAU ROSALES MARTINEZ",si,AW77405,"AEROSOL ACUARIO ULTRA ROJO METALICO 400 ML.",27501476277400,6,492,82, 19B19,,no,,,no
